Trials,l2,v1,ax,Oax,A,OA,Total Height
1,1.015,-0.35,0.0558,8.10E-04,0.0261,7.10E-05,4.00E-03
2,1.045,-0.22,0.0565,9.30E-04,0.0267,6.40E-05,4.00E-03
3,1.0138,-0.24,0.0552,1.00E-03,0.0268,7.40E-05,4.00E-03
4,1.044,-0.22,0.0569,6.40E-04,0.0271,8.30E-05,4.00E-03
5,1.026,-0.4,0.0545,4.90E-04,0.0262,6.70E-05,4.00E-03
6,1.047,-0.26,0.0565,3.00E-04,0.027,6.10E-05,4.00E-03
7,1.042,-0.35,0.0572,4.00E-04,0.027,8.50E-05,4.00E-03
8,1.044,-0.31,0.0552,6.50E-04,0.0266,7.30E-05,4.00E-03
9,1.041,-0.42,0.0568,4.50E-04,0.0268,7.90E-05,4.00E-03
10,1.029,-0.34,0.0505,1.30E-03,0.0257,6.50E-05,4.00E-03
